date,fiscal_year,customer_code,market,product_code,product,variant,sold_quantity,gross_price_total,pre_invoice_discount_pct,net_invoice_sales,post_invoice_discount_pct,net_sales
2017-09-01,2021,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,407.05,0.2924,288.028580,0.2838,206.2860689960
2017-09-01,2021,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,407.05,0.2887,289.534665,0.2838,207.3647270730
2017-09-01,2021,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,407.05,0.2644,299.425980,0.2838,214.4488868760
2017-09-01,2021,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,407.05,0.2899,289.046205,0.2838,207.0148920210
2017-09-01,2021,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,407.05,0.1810,333.373950,0.2838,238.7624229900
2017-09-01,2022,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,425.87,0.2924,301.345612,0.2838,215.8237273144
2017-09-01,2022,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,425.87,0.2887,302.921331,0.2838,216.9522572622
2017-09-01,2022,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,425.87,0.2644,313.269972,0.2838,224.3639539464
2017-09-01,2022,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,425.87,0.2899,302.410287,0.2838,216.5862475494
2017-09-01,2022,90011187,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,3,425.87,0.1810,348.787530,0.2838,249.8016289860
2017-09-01,2018,90011189,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,2,246.75,0.2992,172.922400,0.2744,125.4724934400
2017-09-01,2018,90011189,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,2,246.75,0.2497,185.136525,0.2744,134.3350625400
2017-09-01,2018,90011189,France,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,2,246.75,0.2054,196.067550,0.2744,142.2666142800
